name,RA,Dec,pmra,pmdec,pmra_error,pmdec_error,pm_sig,plx,plx_error,plx_sig,u,g,r,i,photo-z,specz,specz_cite
J0145-3515,26.405338,-35.251364,1.579,-2.949,0.233,0.437,6.754611669,-0.7355,0.461,1.595444685,21.245714,20.401272,20.147627,20.043322,0.03,,
J0146-3449,26.5812,-34.821576,8.182,-6.542,0.103,0.139,60.55288422,1.7659,0.1709,10.33294324,22.12621,19.58718,18.10051,17.10856,0.34,,
J0146-3449,26.581512,-34.821929,8.182,-6.542,0.103,0.139,60.55288422,1.7659,0.1709,10.33294324,21.597965,18.942541,17.549686,16.59038,0.44,,
J0148-3110,27.014819,-31.177696,,,,,,,,,21.446585,21.003784,20.413313,20.71728,0.21,,
J0148-3110,27.015205,-31.17766,,,,,,,,,21.352537,20.848822,20.384502,20.61815,0.21,,
J0154-2940,28.743004,-29.67283,5.912,1.312,0.163,0.107,31.05840202,0.5216,0.1434,3.637377964,21.529024,18.998117,17.879799,17.537273,0.12,2.97,LEMON4
J0154-2940,28.742877,-29.673299,5.912,1.312,0.163,0.107,31.05840202,0.5216,0.1434,3.637377964,21.648443,19.052666,17.8926,17.356297,0.17,2.97,LEMON4
J0156-2751,29.104138,-27.856148,0.896,0.336,0.794,0.626,0.946428312,-0.2444,0.7413,0.329691083,21.646114,20.108416,19.754189,19.86032,0.06,,
J0156-2751,29.103691,-27.856093,0.896,0.336,0.794,0.626,0.946428312,-0.2444,0.7413,0.329691083,21.694191,20.102213,19.7145,19.800488,2.93,,
J0202-3059,30.500539,-30.996125,-21.968,-27.966,0.136,0.108,204.7747501,3.3257,0.1177,28.25573492,22.138006,19.408775,17.92231,16.842367,0.46,,
J0202-3059,30.501034,-30.996016,-21.968,-27.966,0.136,0.108,204.7747501,3.3257,0.1177,28.25573492,22.188995,19.388739,17.89953,16.751368,0.48,,
J0209-2954,32.306582,-29.907377,0.687,-0.446,0.772,0.784,0.744417427,1.2252,0.5775,2.121558442,19.844887,18.384905,17.774475,17.522346,0.07,,
J0209-2954,32.306189,-29.907582,0.687,-0.446,0.772,0.784,0.744417427,1.2252,0.5775,2.121558442,19.948725,19.567005,19.117224,19.008411,0.28,,
J0213-3024,33.491156,-30.409776,5.535,-3.77,1.09,1.17,4.188047736,-2.5469,0.9703,2.624858291,24.41632,21.90512,20.378592,19.489866,0.53,,
J0213-3024,33.490972,-30.409575,5.535,-3.77,1.09,1.17,4.188047736,-2.5469,0.9703,2.624858291,24.177189,21.741678,20.200846,19.320997,0.52,,
J0213-3351,33.417805,-33.855155,-1.925,-10.267,0.189,0.359,25.74710971,0.2788,0.4312,0.646567718,20.98847,20.473562,19.778133,19.548157,0.39,,
J0213-3351,33.418432,-33.854808,-1.925,-10.267,0.189,0.359,25.74710971,0.2788,0.4312,0.646567718,19.266525,18.328852,18.02162,17.908157,0.03,,
J0220-2922,35.224302,-29.368639,3.215,13.635,0.849,0.906,11.28270314,0.7479,0.786,0.951526718,23.831728,21.722332,20.239222,19.358734,0.51,,
J0220-2922,35.223948,-29.368411,3.215,13.635,0.849,0.906,11.28270314,0.7479,0.786,0.951526718,23.78282,22.075397,20.385565,19.675272,0.48,,
J0227-3158,36.841585,-31.971757,0.612,-5.128,0.28,0.26,13.51582735,0.9086,0.2882,3.152671756,23.319918,20.960735,19.625092,19.15651,0.21,,
J0227-3158,36.841236,-31.971616,0.612,-5.128,0.28,0.26,13.51582735,0.9086,0.2882,3.152671756,22.896389,20.42495,19.097261,18.599821,0.18,,
J0231-3440,37.927415,-34.681065,2.344,-6.441,0.347,0.63,9.529832456,0.3026,0.552,0.548188406,21.960516,20.542501,19.813679,19.532074,0.22,,
J0231-3440,37.927946,-34.681458,2.344,-6.441,0.347,0.63,9.529832456,0.3026,0.552,0.548188406,21.033821,20.0735,19.619677,19.444332,0.01,,
J0233-3255,38.28695,-32.917684,-0.104,0.48,0.187,0.401,1.110017908,-0.0041,0.4297,0.009541541,19.994043,19.773905,19.497963,19.313864,1.08,,
J0240-3416,40.140493,-34.269557,,,,,,,,,23.110643,21.626661,20.47541,19.909698,0.6,,
J0240-3416,40.14001,-34.269736,,,,,,,,,22.548304,21.157602,20.251812,19.807886,0.3,,
